"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5eaeeb1...","avestruz","truth",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","avestruz","truth",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb3c2e...","avestruz",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eb450d...","avestruz","stool",FALSE,"wrong",NA,TRUE,NA
"spa-ENG","5eb54aa...","avestruz","stool",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9b01...","avestruz","staws",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","avestruz","strol",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5ebef0e...","avestruz","soon",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","avestruz","rules",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","avestruz","truthfullness",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","avestruz","together",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","avestruz","amazing",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","avestruz","soup",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","avestruz","strudel",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b1ec77...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","barco","trees",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","barco","barco",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","barco","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","barco","barcode",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e2c9ac...","barco","dog",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e32a99...","barco","reading",FALSE,"wrong","Language impairment",TRUE,FALSE
"spa-ENG","5e3878b...","barco","bar",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e52fa4...","barco","dog",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e60db5...","barco","pub",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e64212...","barco","bar",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5e6571b...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e71e92...","barco","barcode",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e788a0...","barco","brake",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e84efb...","barco","barcode",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e8f390...","barco","bark",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5e95bef...","barco","wood",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e96292...","barco","bank",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9b959...","barco","tree bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9df7f...","barco",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eacad0...","barco","barcode",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eaeeb1...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","barco","dog",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb3c2e...","barco","barcode",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb450d...","barco","barcode",FALSE,"wrong",NA,TRUE,NA
"spa-ENG","5eb54aa...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9b01...","barco","barcode",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","barco","marco",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5ebef0e...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","barco","bar",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","barco","tree",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","barco","bark",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","barco","barcode",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","barco","bread",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b1ec77...","biberon","unsure",FALSE,"other","Valid",FALSE,TRUE
"spa-ENG","5b6f4c6...","biberon","but",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","biberon","apron",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","biberon","perion",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","biberon","beer",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","biberon","lemon",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e2c9ac...","biberon","monkey",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e32a99...","biberon","drink",FALSE,"wrong","Language impairment",TRUE,FALSE
"spa-ENG","5e3878b...","biberon","drinks",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e52fa4...","biberon","baby doll",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e60db5...","biberon","curry",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e64212...","biberon","na",FALSE,"other","Insufficient trials",FALSE,FALSE
"spa-ENG","5e6571b...","biberon","toddler",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e71e92...","biberon","live",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e788a0...","biberon","earring",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e84efb...","biberon","bribe",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e8f390...","biberon","bill",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5e95bef...","biberon","pretty",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e96292...","biberon","maroon",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9b959...","biberon","umbrella",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9df7f...","biberon",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eacad0...","biberon","being",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eaeeb1...","biberon","biro",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","biberon","baby",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb3c2e...","biberon",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eb450d...","biberon","on",FALSE,"wrong",NA,TRUE,NA
"spa-ENG","5eb54aa...","biberon","goodbye",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9b01...","biberon","cheese",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","biberon","mirino",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5ebef0e...","biberon","don't",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","biberon","babble",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","biberon","move on",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","biberon","run",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","biberon","pork",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","biberon","brown",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","biberon","melon",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b1ec77...","bici","beef",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","bici","beast",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","bici","whale",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","bici","bithi",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","bici","letter",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","bici","feet",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e2c9ac...","bici","baby",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e32a99...","bici","bee",FALSE,"wrong","Language impairment",TRUE,FALSE
