"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5ee7665...","avestruz","strudel",false,"wrong","Valid",true,true
"spa-ENG","5b1ec77...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","barco","trees",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","barco","barco",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","barco","book",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","barco","barcode",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","barco","dog",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","barco","reading",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","barco","bar",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","barco","dog",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","barco","pub",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","barco","bar",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e6571b...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5e71e92...","barco","barcode",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","barco","brake",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","barco","barcode",false,"wrong","Valid",true,true
"spa-ENG","5e8f390...","barco","bark",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e95bef...","barco","wood",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","barco","bank",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","barco","tree bark",false,"wrong","Valid",true,true
"spa-ENG","5e9df7f...","barco",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","barco","barcode",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5eb2d2d...","barco","dog",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","barco","barcode",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb450d...","barco","barcode",false,"wrong",,true,
"spa-ENG","5eb54aa...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5eb9b01...","barco","barcode",false,"wrong","Valid",true,true
