"participant_id","group","word_1","response","knowledge","confidence","correct","response_type","valid_participant","valid_response"
"5a2461e...","spa-ENG","cereza","beer",true,5,false,"false_friend",true,true
"5a2461e...","spa-ENG","libro","book",true,5,true,"correct",true,true
"5a2461e...","spa-ENG","mano","hand",true,5,true,"correct",true,true
"5a2461e...","spa-ENG","estrella","star",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","sol","sun",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","gato","cat",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","leche","milk",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","luna","moon",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","pan","bread",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","pantalon","trousers",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","perro","but",true,6,false,"wrong",true,true
"5a2461e...","spa-ENG","pie","good",true,6,false,"wrong",true,true
"5a2461e...","spa-ENG","pluma","moon",true,6,false,"wrong",true,true
"5a2461e...","spa-ENG","pollo","chicken",true,6,true,"correct",true,true
"5a2461e...","spa-ENG","chocolate","chocolate",true,7,true,"correct",true,true
"5a2461e...","spa-ENG","naranja","orange",true,7,true,"correct",true,true
"5a2461e...","spa-ENG","ola","hello",true,7,false,"false_friend",true,true
"5a2461e...","spa-ENG","sandwich","sandwich",true,7,true,"correct",true,true
"5b5f133...","cat-ENG","aigua","iron",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","amanida","love",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","arbre","author",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","berenar","brown",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","bibero","beautiful",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","boca","walker",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","boto","boutique",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","camisa","camiimile",false,0,false,"language",true,false
"5b5f133...","cat-ENG","cavall","cale",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","cirera","summer",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","cotxe","got",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","dit","deed",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","formiga","forget",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","fulla","foyer",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","gerd","drive",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","girafa","zebra",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","jaqueta","together",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","lleo","low",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","lloro","loader",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","ma","law",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","mico","mean",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","nas","nasty",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","pernil","party",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","planta","blank",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","poma","big",false,0,false,"wrong",true,true
